VARNAMES: CID HOSTGAL_sSFR
SN: PS17yt -9.730400
SN: 2008050 -9.730400
SN: 2008051 -8.832810
SN: 2008fv1 -8.830120
SN: 2008fv2 -8.830120
SN: 2016aew -12.567800
SN: 2016afk -9.722030
SN: 2016coj -10.748900
SN: 2016fbk -9.400290
SN: 2016ffh -10.231700
SN: 2016hvl -10.334400
SN: 2017cfd -10.921000
SN: 2017drh -11.129500
SN: 2017dws -9.730400
SN: 2017hbi -9.321290
SN: 2018aoz -12.193700
SN: LSQ11ot -9.299570
SN: LSQ13ry -9.722030
SN: PS15adh -9.859620
SN: PS15ahs -9.056690
SN: PS15aii -9.109760
SN: PS15asb -11.129500
SN: PS15atx -9.322250
SN: PS15bbn -9.730400
SN: PS15bdr -20.774500
SN: PS15bif -9.584370
SN: PS15bjg -12.194400
SN: PS15brr -9.983710
SN: PS15bsq -10.039600
SN: PS15bwh -11.129500
SN: PS15bzz -12.567800
SN: PS15cfn -9.299570
SN: PS15cku -8.847100
SN: PS15cms -9.730400
SN: PS15coh -9.730400
SN: PS15cwx -9.610460
SN: PS15cze -9.584370
SN: PS16aer -8.832810
SN: PS16axi -9.730400
SN: PS16ayd -9.322250
SN: PS16bby -9.429010
SN: PS16bnz -14.005500
SN: PS16ccn -8.832810
SN: PS16cqa -10.039600
SN: PS16cvc -8.830120
SN: PS16dnp -9.268970
SN: PS16evk -9.584370
SN: PS16fbb -9.722030
SN: PS17akj -9.109760
SN: PS17bii -9.056690
SN: 1997bq_B -9.707820
SN: AT2016aj -20.774500
SN: AT2017lm -8.936450
SN: AT2017ns -9.730400
SN: AT2017oz -9.317760
SN: AT2017po -9.722030
SN: AT2017wb -9.109760
SN: AT2017yk -9.109760
SN: AT2017zd -9.299570
SN: LSQ12gdj -8.830120
SN: LSQ13crf -8.832810
SN: LSQ13ddu -10.170200
SN: PS1-14xw -8.830120
SN: PTF10bjs -11.123400
SN: PTF10icb -9.726300
SN: SN2017hn -11.129500
SN: SN2017jl -9.730400
SN: SN2017mf -8.936450
