VARNAMES: CID REDSHIFT_CMB
SN: 1996ai 0.003855
SN: 1996bk 0.006998
SN: 1996bl 0.034811
SN: 1996bo 0.016314
SN: 1996bv 0.016726
SN: 1997 1.756099
SN: 1997E 0.013140
SN: 1997Y 0.016613
SN: 1997bp 0.009312
SN: 1997bq 0.009931
SN: 1997bq_B 0.009931
SN: 1997bq_JB 0.009931
SN: 1997br 0.008011
SN: 1997cn 0.016935
SN: 1997cw 0.015937
SN: 1997dg 0.029619
SN: 1997do 0.010478
SN: 1997dt 0.006071
SN: 1998D 0.013218
SN: 1998V 0.017177
SN: 1998ab 0.028061
SN: 1998aq 0.003693
SN: 1998bp 0.010165
SN: 1998bu 0.004059
SN: 1998co 0.016838
